,melon_id,댓글,processed_comment
0,나너니내,"조기전역하면 2021.04.02 날에 전역을 하는데
동서울가는 버스안에서 이노래들으면서
전역하는 기분을 만끽하고싶다
하아..빨리와라 4월2일 ㅠㅠㅠㅠㅠㅠ","['전역', '날', '전역', '하다', '서울', '가다', '버스', '안', '노래', '들다', '전역', '하다', '기분', '만끽', '하다', '오다']"
1,kumpa,안 사주면 ~~ 안 먹고 말어 ~~,"['안', '사주면', '안', '먹다', '말다']"
2,멜창,ㅇ자겨,['자겨']
3,승거이승거이승거이,크으..너무 좋아,['좋다']
4,열혈리쓰너,이 노래 처음들었을때 너무 좋아서 아껴들었었는데,"['이', '노래', '처음', '들다', '때', '좋다', '아끼다', '들다']"
5,코코코코코코코입,"볼사 인생곡 아닌가 이거.. 다른 노래도 다좋은데
이건 진짜 무슨 영혼이 담겨있는 느낌임","['보다', '인생', '곡', '아니다', '거', '다른', '노래', '좋다', '것', '진짜', '무슨', '영혼', '담기다', '느낌', '임']"
6,무민만두,날클립을..알고있니..,"['날', '클립', '알다']"
7,강형욱도버린개,"겨울에 들어도 좋구나,,,","['겨울', '들다', '좋다']"
8,콩떡됐다,이 노래 들으면 되게 설레는데 한편으로는 또 되게 씁쓸함 ㅠㅠㅠ,"['이', '노래', '들다', '설레다', '한편', '또', '씁쓸하다']"
9,코코코코코코코입,행복을 주는 아티스트 : ),"['행복', '주다', '아티스트']"
10,HeyMr.,바닐라맨이 영혼을 갈아넣어 만든곡 아닐까,"['바닐라', '맨', '영혼', '넣다', '만들다', '곡', '아니다']"
11,Thislov,작년 봄에 이 노랠 듣고 썸을 시작했지,"['작년', '봄', '이', '노랗다', '듣다', '썸', '시작', '하다']"
12,코코코코코코코입,어떻게 이런 노래를 쓴거지.. ㅜㅜ,"['어떻다', '이렇다', '노래', '쓸다']"
13,캐캐캐,역주행 하기까지 5달 남았다. 대략 반년 뒤 다시 역주행 할 노래 입니다.,"['역주행', '하다', '달', '남다', '대략', '반년', '뒤', '다시', '역주행', '하다', '노래', '이다']"
14,토토토롱,00년생들 대학생활 시작하는 그 시점 강제 회상 시키는곡,"['대학', '생활', '시작', '하다', '그', '시점', '강제', '회상', '시키다', '곡']"
15,classicbrown,"하 진짜 봄의 설렘을 너무 잘 표현한 곡 지금 들어도 설렌당,,,","['진짜', '봄', '설레다', '자다', '표현', '곡', '지금', '들다', '설레다']"
16,hyne81,댓 900갑시다,"['댓', '가다']"
17,나는성하,벗꼬또 머고 다 필요없쏘,"['벗꼬또', '머', '필요없다', '쏘다']"
18,jp.p,flower sunshine 완벽한 하룰 사실..... 너와 걸을수 있다면 얼마나..... 좋을까,"['완벽하다', '룰', '사실', '너', '걸다', '있다', '얼마나', '좋다']"
19,꺄호호오오,요즘 나의 마음...,"['요즘', '나', '마음']"
20,볼빨간소금인형,작년 봄 일하느라 힘들때 참 많이 도움이 됐던 노래였지요 업무 스트레스때도 신기하게 이 노래를 들으면 스르륵 풀렸다는ㅎ,"['작년', '봄', '일', '하다', '힘들다', '때', '차다', '도움', '돼다', '노랗다', '업무', '스트레스', '때', '신기하다', '이', '노래', '들다', '풀리다']"
21,탈퇴한 회원,전주 시작하자마자 작년 봄으로 돌아가버렸다..,"['전주', '시작', '자마자', '작년', '봄', '돌아가다', '버리다']"
22,bluesky0922,바~아보 션샤인 완벽한할~,"['바', '아보', '션', '샤인', '완벽하다', '하다']"
23,왜나만봄,이 노래만 들으면 몸이 움찔하네요 좋은 노래,"['이', '노래', '들다', '몸', '움찔', '하다', '좋다', '노래']"
24,stxr,고3시절 수험생활을 견디는데 힘이 되어주었던 최고의 노래. 꼭 새내기가 되어서 이 노래를 들으며 대학교 잔디밭에서 하늘을 보며 누워있고싶었다. 달콤한 목소리와 마음을 울리는 가사가 너무 좋다.,"['고', '수험', '생활', '견디다', '힘', '되어다', '최고', '노래', '꼭', '새내기', '되어다', '이', '노래', '들다', '대학교', '잔디밭', '하늘', '보다', '눕다', '달콤하다', '목소리', '마음', '울리다', '가사', '좋다']"
25,듣자고이,안녕하세요? 옛날 전 이노래를 찾아봐서 듣기전에 아파서 입원했어었요 근데이노래를 듣고나서 다나아져서 퇴원 했어요 이노래완전좋아해요!,"['안녕하다', '옛날', '전', '노래', '찾아보다', '듣다', '아프다', '입원', '하다', '데이', '노래', '듣다', '나아지다', '퇴원', '하다', '노래', '완전', '좋아하다']"
26,HGONY,감사해요. 좋은노래덕분에 힘이나요 : ),"['감사하다', '좋다', '노래', '덕분', '힘', '이나']"
27,코코코코코코코입,"신교대 훈련 4주차때 나왔던 노래.. ㅜㅜ 조교가 들려줘서 첨 듣고 바로 빠져버림

그후로 볼사 노래들에 기대어 잘 버텨온듯 ㅎㅎ
이제 90퍼 넘었다 하히","['신교대', '훈련', '주차', '때', '나오다', '노래', '조교', '들려주다', '듣다', '바로', '빠지다', '버리다', '후', '보다', '노래', '기대다', '자다', '버티다', '오다', '이제', '넘다']"
28,귀리귀리귀리귀리,크 너무 조와,"['크다', '조']"
29,기가찬월급,"전남친이랑 헤어졌을때 나왔던노래 ㅋㅋㅋㅋㅋㅋ
가사 넘 취저","['전남친', '헤어지다', '때', '나오다', '노래', '가사', '넘다', '취저']"
30,16학번문돌이,잘듣고갑니다,"['듣다', '가다']"
31,결혼하잡,듣고가요,['듣다']
32,모구휘,ㅋㅋㅋ이 노래 짝사랑 할때 너무 많이 들어서 이제는 들을 수가 없는 노래...ㅋㅋ노래는 너무 좋은데 쪽팔려서..가끔 카페에서 나오면 진짜 창피해욬ㅋㅋㅋ,"['이', '노래', '짝사랑', '하다', '때', '들어서다', '이제', '들다', '수가', '없다', '노래', '노래', '좋다', '쪽팔리다', '가끔', '카페', '나오다', '진짜', '창피해']"
33,jp.p,노래가 좋아유,"['노래', '좋다', '아유']"
34,잼벋,인생곡,"['인생', '곡']"
35,파쵸스,"여기 이 노래 나옴
문제는 역사왜곡이 아니다. 왕조 실록과 직접 대조해본 나랏말싸미 리뷰 1부
YouTube에서","['여기', '이', '노래', '나오다', '문제', '역사왜곡', '아니다', '왕조', '실록', '직접', '대조', '해보다', '나랏말싸미', '리뷰', '부']"
36,김해낭만소년김찬호,좋은 음악 감사합니다.,"['좋다', '음악', '감사하다']"
37,캐캐캐,헐 1억스밍이예요?? ㅁㅊ,['헐다']
38,호훈9905,1억 스밍 !,['스밍']
39,Special우주,1억 스밍 달성~⭐️⭐️,"['스밍', '달성']"
40,캐캐캐,1억스밍 꼭 찍으시라고 계속 듣고있습니다!!,"['꼭', '찍다', '계속', '듣다']"
41,캐캐캐,아직 1억 스밍 못찍었나요??,"['스밍', '찍다']"
42,탈퇴한 회원,하트 15만개!,['하트']
43,캐캐캐,노래 진짜 아름답다,"['노래', '진짜', '아름답다']"
44,주선광,여자 십센티ㅋㅋㅋㅋㅋㅋㅋ~☆☆~,"['여자', '십센티']"
45,잼벋,최고오,"['최고', '오']"
46,인제,"썸녀가 불러줬던노랰ㅋㅋㅋㄱ그때 정말 행복했는데
남자친구생겼더라...?ㅋㅋㅋㅋㅋㄱ잘지내닠ㅋㅋ","['썸녀', '불다', '주다', '노래', '그때', '정말', '행복하다', '남자친구', '생기다', '지내다']"
47,호돌이푸,좋아요,['좋다']
48,이노래만듣고-공부하러갈게,벚꽃도 뭐고 다 필요없어 라는 가사 너무 신선해서 좋다,"['벚꽃', '뭐', '필요없다', '가사', '신선하다', '좋다']"
49,짜냥하는여친,노래가 너무 쌍큼해❤,"['노래', '쌍', '크다']"
50,13학번공돌이,잘듣고갑니다,"['듣다', '가다']"
51,탈퇴한 회원,146위 51810명❤,"['위', '명']"
52,bemyb,진정한 사회적 거리두기 곡,"['진정하다', '사회', '거리', '두기', '곡']"
53,덕잡,좋아해,['좋아하다']
54,lovering09,안지영너무이쁘고노래도잘불러요ㅠ~~,"['안지영', '이쁘다', '노래', '잘불르다']"
55,노래가난다요,몇번을 들어도 새로운곡ㅠㅠ 질리지가 않아요 ㅠㅠㅠ,"['몇번', '들다', '새롭다', '곡', '질리다', '않다']"
56,박재형,이원진 사랑해❤️,"['이원진', '사랑', '하다']"
57,LiIpump,도입 귀여운 통통 음부터 훅부터 화음이랑 마지막 딴딴 따라 딴 딴 따라아~ 하는 기타 후렴 음까지 완벽해 벚꽃엔딩 봄날과 함께 3대 봄 노래다,"['도입', '귀엽다', '통통', '음', '훅', '화음', '마지막', '따르다', '따다', '따다', '따르다', '하다', '기타', '후렴', '음', '완벽하다', '벚꽃', '엔딩', '봄날', '대다', '봄', '노래']"
58,솔레눙,작년 이맘쯤 자대 전입오고나서 들은 첫 기상송이 이거였는데 그래서그런지 들을때마다 긴장하고 어색하고 새롭던 그때가 떠오른다.,"['작년', '이맘', '자다', '전입', '오다', '들다', '첫', '기상', '송이', '이다', '그렇다', '들다', '때', '긴장', '어색하다', '새롭다', '그때', '떠오르다']"
59,ssujijn__,플라워 선샤인 할 때 뭔가 그냥 벚꽃놀이 온거같음 있지도 않은 벚꽃나무들이 눈앞에 있는거같고~ 벚꽃 향기들이 나는가같고~,"['플라워', '선샤인', '하다', '때', '뭔가', '그냥', '벚꽃놀이', '오다', '같다', '있다', '않다', '벚꽃', '나무', '눈앞', '있다', '같다', '벚꽃', '향기', '나다', '같다']"
60,훈발롬,선견지명 쌉오졌고,"['선견지명', '싸다']"
61,닉네임 없음,ㅋㅋㅋㅋㅋㅋㅋ가사ㅋㅋㅋㅋ 1년을 내다본 그녀의 예지력...,"['가사', '내다보다', '그녀', '예지력']"
62,lvvvy,"왜 그럴까 사람들은 그냥 봄기운이 좋아 눈치 없이 밖을 나가는 걸까
완전 이시국 가사ㅋㅋㅋ","['왜', '그렇다', '사람', '그냥', '봄', '기운', '좋다', '눈치', '밖', '나가다', '걸다', '완전', '시국', '가사']"
63,현재지금,"20살의 봄을 이노래와 함께해서 행복했어요
며칠 전 탈퇴 얘기에 이 노래가 다시 문득생각났어요 사람들이 참 너무했다는 생각이 들더라구요 근데 제친구는 우지윤분이 이상형이라 할정도로 가장 좋아하는 사람이였어요 어디서든 항상 행복하세요
저도 제가 좋아했던, 저와 묘한관계였던 그 사람과 함께 가장 좋아했던 노래로 그 봄 항상 몽글몽글했네요","['살의', '봄', '노래', '하다', '행복하다', '며칠', '전', '탈퇴', '얘기', '이', '노래', '다시', '문득', '생각나다', '사람', '차다', '너무하다', '생각', '들다', '친구', '지윤', '이상형', '하다', '정도', '가장', '좋아하다', '사람', '이다', '어디', '서든', '항상', '행복하다', '저', '제', '좋아하다', '저', '묘', '관계', '이다', '그', '사람과', '가장', '좋아하다', '노래', '그', '봄', '항상', '몽글몽글하다']"
64,MPG0414,이노래도 연금될것같다,"['이다', '연금', '되다', '같다']"
65,머글인디,"이 시국에 참 적절한 가사
싸돌아댕기지마^^","['이', '시국', '차다', '적절하다', '가사', '돌다', '댕기', '마']"
66,진짜좋은것만댓글담,오늘도 이 노래 덕분에 행복합니다 언니 고마워요❤️,"['오늘', '이', '노래', '덕분', '행복하다', '언니', '고맙다']"
67,ㅎㅆㅇ,나만봄,"['나', '봄']"
68,우아한.프라다,"헐.........


안지영 혼자 활동한데요ㅠㅜ","['헐다', '안지영', '혼자', '활동', '하다']"
69,가끔은하늘을봐요,이곡은 봄되면 들어야될 노래 탑5 순위같다 이젠,"['이곡', '보다', '면', '들다', '되다', '노래', '탑', '순위', '같다', '젠']"
70,bolbbalgan4,차트 진입했다가 나갔다 하넹...볼사 화이팅♡♡,"['차트', '진입', '하다', '나가다', '하넹', '보다', '화이팅']"
71,최승준,"이서야,,,,",['이서']
72,mini1028,봄에는 나만봄 ㅎㅎㅎ,"['봄', '나', '봄']"
73,닉네임은일곱자,안지영이 진짜 마음먹고 대중성 있는 곡을 쓰면 이런 곡이 나오는구나 싶은 생각이 드는 곡.. 노래에서 꿀이 떨어지는데 억떡계 안 들을 수가 있어ㅠㅠㅠㅠ 왜 다른 봄캐롤은 슬금슬금 올라오는데 나만 봄만 더디게 올라오는 것 같냐!,"['안지영', '진짜', '마음먹다', '대중성', '있다', '곡', '쓰다', '이렇다', '곡', '나오다', '싶다', '생각', '들다', '곡', '노래', '꿀', '떨어지다', '떡', '안', '들다', '수가', '있다', '왜', '다른', '봄', '캐롤', '슬금슬금', '올라오다', '나', '봄', '더디다', '올라오다', '것', '같다']"
74,이기자은광,ㅜㅜ 봄냄새 맡고싶다ㅜㅜㅜㅜ 코로나짜증나,"['봄', '냄새', '맡다', '코로나', '짜증나다']"
75,볼사노래좋아,올라왔다!,['올라오다']
76,진짜좋은것만댓글담,햇빛 받으면서 이 노래 들으면 너무 행복해요 언니 사랑합니다❤️❤️❤️,"['햇빛', '받다', '이', '노래', '들다', '행복하다', '언니', '사랑', '하다']"
77,벚피달,"Flower sunshine 완벽한 하루를~
여기부터 중독오짐","['완벽하다', '하루', '여기', '중독', '짐']"
78,Shouldi,벚꽃도 뭐고 다 필요없어 나는 네 곁에 있고 싶어~,"['벚꽃', '뭐', '필요없다', '나', '네', '곁', '있다', '싶다']"
79,네오udm4u,그냥 날 따뜻하니까 머릿속에서 자동재생됨 ㅠㅠ,"['그냥', '날', '따뜻하다', '머릿속', '자동', '재생', '되다']"
80,혁님.,101위녜ㅠ,['위녜']
81,09우볼리,101위ㅜㅜ100위건 들자!!!!,"['위', '위건', '들다']"
82,BLUE지영,일간 이용자수 점점 는다 다시 올라오길,"['일간', '이용', '자수', '점점', '다시', '올라오다']"
83,봄은a,"일간 98위!!
이대로 올라가자!","['일간', '위', '올라가다']"
84,잼벋,오늘 내 생일! 봄이라서 너무 좋다❤️,"['오늘', '내', '생일', '봄', '좋다']"
85,JUNH0_0,이거 부를 시절왔다,"['거', '부르다', '시절', '오다']"
86,ㄱ아르아읓ㅊ,일간 99위!,"['일간', '위']"
87,네버낫,"12시 105위 1시 100위 2시 차트아웃

다시 돌아와.,,","['위', '위', '차트', '아웃', '다시', '돌아오다']"
88,cogemimano,오늘같이 따사로워진 날 듣기 제격인 노래♡,"['오늘', '따다', '사', '워진', '날', '듣기', '제격', '노래']"
89,앚엑,오오 차트진입!!!,"['차트', '진입']"
90,stochastics,퀸만봄 실시간 진입 ㅋㅋㅋ,"['퀸', '봄', '실시간', '진입']"
91,왜나만봄,13:00 실시간차트 100위 진입,"['실시간', '차트', '위', '진입']"
92,잼벋,슬슬 들을때 됐쥬,"['슬슬', '들다', '때', '됐쥬']"
93,혁님.,2020.03.18 135위,['위']
94,혁님.,2020.03.17 139위,['위']
95,moonj312,안돼 그만둬~~~내 맘도 모ㄹ흐고~~,"['돼다', '그만두다', '내', '맘', '모', '흐']"
96,왜나만봄,2020.3.16 135위 (+2),['위']
97,왜나만봄,2020.3.15 137위,['위']
98,혁님.,2020.03.14 147위,['위']
99,왜나만봄,봄코인 떡상중,"['봄', '코인', '떡', '상중']"
100,혁님.,2020.03.13 148위,['위']
101,혁님.,2020.03.12 142위 ♡,['위']
102,혁님.,2020.03.11 147위,['위']
103,1_kyne_g_one,따뜻한 봄날에 듣기 좋은노래,"['따뜻하다', '봄날', '듣기', '좋다', '노래']"
104,Miracle_Buddy,2020.03.10 150위 ❤,['위']
105,봄은a,올라와라!!,['올라오다']
106,진짜좋은것만댓글담,벌써 언니노래 들을 계절이 왔어요 언니 사랑해요❤️,"['벌써', '언니', '노래', '들다', '계절', '오다', '언니', '사랑', '하다']"
107,NEVER4EVER,작년봄 생각난다...,"['작년', '봄', '생각나다']"
108,19korea,이노래는 들을 수록 좋네 ㅋㅋ,"['노래', '들다', '수록', '좋다']"
109,MJ-S2,너무 좋다,['좋다']
110,cktpwls,나만봄의 계절이 돌아오고 있다,"['나', '봄', '계절', '돌아오다', '있다']"
111,인생죡같네스브러얼,갑자기 이 노래가 생각나네 ㅋㅋ,"['갑자기', '이', '노래', '생각나다']"
112,페코찌,플라워 썬샤인~~~~~~~~~~,"['플라워', '써다', '샤인']"
113,왜나만봄,봄코인 떡상 가자ㅏㅏㅏㅏㅏㅏㅏ,"['봄', '코인', '떡', '가다']"
114,탈퇴한 회원,봄되서 들렸습니다.,"['봄', '되다', '들리다']"
115,볼발광머리앤,올해 봄도 부탁해!,"['올해', '봄', '부탁', '하다']"
116,탈퇴한 회원,조만간 차트인할듯,"['조만간', '차트', '인하다']"
117,네버낫,"51,152명 (+10,295)

131위 (+12)","['명', '위']"
118,imyourcake,짝사랑 중에 들으니까 눈물 나온다ㅜ.ㅜ,"['짝사랑', '중', '들다', '눈물', '나오다']"
119,줄게마갤럭씨,플라워 선샤인 완벽한하!루를사실~~,"['플라워', '선샤인', '완벽하다', '루', '사실']"
120,oafeiwjdb1929,너무 설레쟈나ㅜㅜ,['설레다']
121,jp.p,"flower 부분부터 말로 표현못할 벅차오름이 느껴지네요. 해질녘 철로사이 다리를 함께 걷던 옛친구가 그리워지면서, 한편으론 슬프지만 옛생각에 행복함이 섞인...","['부분', '말로', '표현', '하다', '벅차오르다', '느껴지다', '해질녘', '철로', '사이', '다리', '걷다', '친구', '그립다', '한편', '슬프다', '생각', '행복하다', '섞이다']"
122,xnekel,여자보다 남자들이 더 많이 들었네 ㅋㅋㅋㅋㅋ,"['여자', '남자', '더', '들다']"
123,볼빨간낯선아이,※댓글 답글순 정화합시다. 아무 말이나 끄적여주세요※,"['댓글', '답글순', '정화', '하다', '아무', '말', '이다']"
124,eun9984,최고!♡♡♡♡,['최고']
125,Alwnxo,이노래로 설탕만들면 일키로 나오겠다 진짜 달달쓰하네,"['노래', '설탕', '만들다', '일', '나오다', '진짜', '달달', '쓰다']"
126,청와댸,"진짜 노래 들으면 너무 달달하고 4월 벚꽃 흩날릴 때의 그 기분이 생각나서 너무 환상적이고 좋다..
뭐라 말할 수 없는 벅차오르는 진짜 환상의 곡","['진짜', '노래', '들다', '달달', '벚꽃', '흩날리다', '때', '그', '기분', '생각나다', '환상', '좋다', '뭐라다', '말', '하다', '수', '없다', '벅차오르다', '진짜', '환상', '곡']"
127,이재현아내,와 노래 겁나 달콤함 ㅠㅠㅠ,"['오다', '노래', '겁나다', '달콤하다']"
128,미묘한코코몽,노래 너무 달달해서 듣기만 해도 혈당 올라가는 기분 ㅠㅠ,"['노래', '달달', '하다', '듣기', '해도', '혈당', '올라가다', '기분']"
129,Ammmn,설콘 씹레전드 ㅠ,"['설콘', '씹다', '레전드']"
130,So_jung_,이거 듣자마자 올해 봄 고3야자 때가 생각난다. 그때 좋아하던 애도 같이 야자해서 맨날 집에 버스 같이 타고 가려고 일부러 10시까지 하고 그랬는데 ㅎㅎ,"['거', '듣다', '올해', '봄', '고', '야자', '때', '생각나다', '그때', '좋아하다', '애도', '야자', '하다', '집', '버스', '타고', '가다', '일부러', '하다']"
131,ㅇㅇㅇㅁㄴㅇㅂㅈㄷ,몇 달만에 다시 듣는데 듣던 때의 추억이 떠오르게 해주네... 좋다,"['몇', '달', '다시', '듣다', '듣다', '때', '추억', '떠오르다', '해주다', '좋다']"
132,Rain3000,한동안 꽂혔던 노래들은 나중에 다시 들어봤을 때 저마다 한참 듣던 때의 기억? 이나 상황들이 떠오르는데 이건 딱 올해 봄의 그 따듯하고 조금 설렜던 분위기나 장면이 떠오름.. 그땐 거의 이것만 듣다시피 했는데 또 들어도 여전히 좋다,"['꽂히다', '노래', '나중', '다시', '들다', '보다', '때', '저', '한참', '듣다', '때', '기억', '이나', '상황', '떠오르다', '것', '올해', '봄', '그', '따다', '듯', '조금', '설레다', '분위기', '장면', '떠오르다', '그땐', '거의', '것', '듣다', '하다', '또', '들다', '여전하다', '좋다']"
133,줄게마갤럭씨,놀러갈때 들으면 개설렘,"['놀다', '갈다', '때', '들다', '개', '설레다']"
134,진짜좋은것만댓글담,언니 노래 들으면 너무 기분이 좋아져요 사랑해요❤️,"['언니', '노래', '들다', '기분', '좋아지다', '사랑', '하다']"
135,enddl2007,낮에 봄바람맞으면서 하이라이트부분 듣는데 진짜 심쿵함 그냥 모든게 다 적당하고 설렜음 ㅜㅜ지금도 그짧은순간 생각만하면 설렘,"['낮', '봄바람', '맞다', '하이라이트', '부분', '듣다', '진짜', '심쿵하다', '그냥', '모든', '적당하다', '설레다', '지금', '그', '짧다', '순간', '생각', '만하', '설레다']"
136,씨앗호떡꿀호떡,완벽한 허위사실 ~~,"['완벽하다', '허위', '사실']"
137,발라드따머키,어제 시상식 왜 안왔어요?,"['어제', '시상식', '왜', '오다']"
138,하르시엔,지금 들어도 너무 좋아~,"['지금', '들다', '좋다']"
139,김동현,진짜 너무 좋다,"['진짜', '좋다']"
140,삼겹3,안돼 그만둬 도입부분이 너무 좋음 안지영만 가능한 노래,"['돼다', '그만두다', '도입', '부분', '좋다', '안지영', '가능하다', '노래']"
141,고3팬치,진짜 이어폰으로 들을때 도입부에 왼쪽 오른쪽 소리 다르게 들리는게? 너무 좋아요,"['진짜', '이어폰', '들다', '때', '도입', '부', '왼쪽', '오른쪽', '소리', '다르다', '들리다', '좋다']"
142,달리할말,내 입대곡^^,"['내', '입대', '곡']"
143,와라!!,개인적으로 공감가서 꽂힘,"['개인', '공감', '가다', '꽂히다']"
144,내맘이열리게,딱 붙어서~~ 부분 진짜 너무 좋아요 노래를 어떻게 그렇게 잘 부르는지....,"['붙다', '부분', '진짜', '좋다', '노래', '어떻다', '자다', '부르다']"
145,에이바제트,노래 틀자마자 올해 봄 생각나네,"['노래', '틀다', '올해', '봄', '생각나다']"
146,hyeonjun01,안지영! 우지윤! 봄빨간! 사춘기! 나만봄 예~!,"['안지영', '지윤', '봄', '빨갛다', '사춘기', '나', '봄', '예']"
147,Jennieruby,노래 너무 좋다ㅠㅠ볼사노래중에서 나의 사춘기에게랑 이게 젤 좋당ㅎㅎ,"['노래', '좋다', '보다', '노래', '나', '사춘기', '이', '젤', '좋다']"
148,herb33,지나간 봄을 다시 데려오네,"['지나가다', '봄', '다시', '데려오다']"
149,fwwr7350,가을에 계속 듣고있어요,"['가을', '계속', '듣다']"
150,홀롤롤로로로노롤,볼사 완전 팔색조임ㅠㅠ,"['보다', '완전', '팔색조', '임']"
151,졍달비,"볼사 독특해서 너무 좋앙
워커홀릭 과는 다른 분위기라서
여러 장르를 듣는거 같노","['보다', '독특하다', '좋다', '워커홀릭', '다른', '분위기', '여러', '장르', '듣다', '같다']"
152,sdyhhhh,숨은 띵곡,"['숨다', '띵곡']"
153,jp.p,플라워 선샤인 구간부터 멜로디가 상당히 슬프게 느껴지네요 뮤비장면이 떠을려져서인지,"['플라워', '선샤인', '구간', '멜로디', '상당하다', '슬프다', '느껴지다', '뮤비', '장면', '뜨다', '지다', '인지']"
