,melon_id,댓글,processed_comment
154,95_814,슬픈 노래는 아니지만 왜 슬프게 느껴질까...,"['슬프다', '노래', '아니다', '왜', '슬프다', '느껴지다']"
155,미라클이지호,제 최애노래 애염♡,"['제', '최애', '노래', '애염']"
156,오후에점심을먹는소녀_,ㅠㅠ 볼빨간 사춘기 러브하는사람 좋아요 ㅠㅠ♡♡,"['볼', '빨갛다', '사춘기', '러브', '하다', '사람', '좋다']"
157,JJangchang,"나는 네 곁에 있고 싶어 딱 붙어서~
제일 좋아하는 파트♥","['나', '네', '곁', '있다', '싶다', '붙다', '제일', '좋아하다', '파트']"
158,antiOJC,안돼 그만해 꽃은 넣어둬,"['돼다', '그만하다', '꽃', '넣다', '두다']"
159,하하.__.,"이 노래 들으니까 짝사랑하는 애 생각난다.. 너무 오래동안 짝사랑해서 더 좋아지네..
그러고 보니 4년 동안 짝사랑했다ㅜㅜㅜ 짝사랑하는 사람들 댓 달아주세요ㅜㅜㅜ","['이', '노래', '들다', '짝사랑', '하다', '애', '생각나다', '동안', '짝사랑', '하다', '더', '좋아지다', '그렇다', '보다', '동안', '짝사랑', '하다', '짝사랑', '하다', '사람', '댓', '달다']"
160,미쩌,꽃은 넣어둬,"['꽃', '넣다', '두다']"
161,어세긍,"나만 봄에서 (왜 이럴까 사람들은) 이 부분
soulmate에서 (오래 기다렸지 안녕)
이 부분이랑 박자만 다르고 똑같은듯","['나', '봄', '왜', '이렇다', '사람', '이', '부분', '기다리다', '안녕', '이', '부분', '박자', '다르다', '똑같다', '듯']"
162,어피치wrtxr,"안녕하세요저는이순옥입니다16살입니다
재생 다운로드
여행
볼빨간사춘기
Red Diary Page.2","['안녕하다', '저', '이순옥', '이다', '살', '이다', '재생', '다운로드', '여행', '볼', '빨갛다', '사춘기']"
163,아라비카커피원두,"묘하게 중독성 있어서 생각날때마다 듣고 있어요, 굿굿!","['묘', '하다', '중독', '있다', '생각나다', '때', '듣다', '있다', '굿굿']"
164,띠이.용,"“다른 사람 다 사라져라” 이 파트 나만 좋아하나? ㅠㅠ 진짜 어찌 보면 유치하고 귀여운데 이 부분은 어느 커버 곡에서도 못 살리더라..
약간 엄마가 어린 아들한테 ‘아픔아 날라가라~’ 하는 느낌이 그대로 듦.,","['다른', '사람', '사라지다', '이', '파트', '나', '좋아하다', '진짜', '어찌', '보다', '유치하다', '귀엽다', '이', '부분', '커버', '곡', '못', '살리다', '약간', '엄마', '어리다', '아들', '아픔', '나르다', '하다', '느낌', '그대로', '들다']"
165,가인_여솔원탑,볼사 노래는 계절별로 듣기 좋은 곡이 참 많은듯,"['보다', '노래', '계절', '별로', '듣기', '좋다', '곡', '차다', '많다']"
166,쭈마뇽,이렇게마니들은거 처음,"['말다', '들다', '거', '처음']"
167,가요팝제이팝,죻아 모흐고 ㅋㅋㅋ,"['죻', '모흐']"
168,안지영사생팬,이 노래 스밍같은 짓 안하고 순수하게 들은 횟수만 498번이다... ㄷㄷ,"['이', '노래', '스밍같', '짓', '안', '순수하다', '들다', '횟수', '번']"
169,se_xybird,"다른사람 다 사라져라~
하는데 타노스 미소 떠올라버림...ㅜㅜ","['다른사람', '사라지다', '하다', '노스', '미소', '떠오르다', '버리다']"
170,레벨더꾸,가사가 너무 귀여워ㅠㅠ,"['가사', '귀엽다']"
171,오오오오오오예압,노래는 좋은데 안지영 딕션은 아직이구먼..,"['노래', '좋다', '안지영', '딕션', '구먼']"
172,갓친버디포레버_MAGO,언제나 들어도 좋은 곡❤,"['들다', '좋다', '곡']"
173,닉네임뭐함니깡,이런 봄노래는 역시 설레는 사랑노래,"['이렇다', '봄', '노래', '역시', '설레다', '사랑', '노래']"
174,이씨삼촌,이 봄에 최고였습니다~~♡,"['이', '봄', '최고', '이다']"
175,antiOJC,안지영 너무 귀여운척 하니까 귀여워!,"['안지영', '귀엽다', '척', '하다', '귀엽다']"
176,닉네임뭐로해야합니까,설레넹,['설레넹']
177,멜창,"플라워선샤인 완벽한 하루를 사실 너와 걸을 수 있다면 얼마나 좋을까....
벚꽃도뭐고 다 필요없어 다만내곁에있고싶어 딱붙어서
가사 진짜공감된다 두달째 짝사랑중인데....","['플라워', '선샤인', '완벽하다', '하루', '사실', '너', '걸', '수', '있다', '얼마나', '좋다', '벚꽃', '뭐', '필요없다', '다만', '곁', '있다', '붙다', '가사', '진짜', '공감', '되다', '달', '짝사랑']"
178,탈퇴한 회원,여기 오신분들 다들 답글순 어그로 글들에 음란성 신고 한번씩만 눌러주세요~^^,"['여기', '오신', '들다', '답글순', '어그', '글', '음란', '신고', '한번', '누르다']"
179,머환중사,가사 처음 부분이 좀 야하게 느껴지는데 내가 이상한건가,"['가사', '처음', '부분', '좀', '야하다', '느껴지다', '내', '이상하다', '건가']"
180,탈퇴한 회원,듣다보니 266번 들었네요. ㅋㅋㅋㅋ 너무 좋아요^^,"['듣다', '보다', '번', '들다', '좋다']"
181,냠냠마시땅,바-보 선샤인~ 이렇게 들어서 엥 뭔 노랜데 볼사노래에 바보가 들어가지 싶었는데 플라워였구나,"['바', '보', '선샤인', '들어서다', '노래', '보다', '노래', '바보', '들어가다', '싶다', '플라워', '이다']"
182,돼순_,저만 이노래듣고 울었어요? 운사람 빨리 나와줘요 쪽팔리니까...,"['노래', '듣다', '울다', '운', '사람', '나오다', '쪽팔리다']"
183,pumpout,딱 붙어서~ 이 부분 넘 좋당.,"['붙다', '이', '부분', '넘다', '좋다']"
184,rainy_blue,"♪♬언제 봄이 왔는지
(내 맘도 모흐~ㄹ고 봄빠람이 자꾸만 불허ㅇ와 )
이 부분이 너무 좋음 볼사 특유의 발음","['언제', '봄', '오다', '내', '맘', '모흐', '고', '봄빠람', '자꾸만', '불허', '오다', '이', '부분', '좋다', '보다', '특유', '발음']"
185,클래오밥주라,앵앵거려서 개 싫어했는데 이 노래 목소리는 너무 설레네,"['앵앵거리다', '개', '싫어하다', '이', '노래', '목소리', '설레다']"
186,VWVw,안지영은 천재야 진짜..,"['안지영', '천재', '진짜']"
187,hyejung__,목소리가 이렇게 특이하게 매력적인데도 곡마다 느낌이 새로운게 참 신기하다,"['목소리', '특이하다', '매력', '적다', '곡마', '느낌', '새롭다', '차다', '신기하다']"
188,탈퇴한 회원,"여기 답글순 왜이렇게 더럽냐ㅋㅋㅋ
팬코에 무개념에 난리네","['여기', '답글순', '왜', '더럽다', '팬코', '무', '개념', '난리']"
189,Americano25,"첫 도입부가 익숙하다 생각했는데 이노래와 비슷한것같아요..ㅎㅎ
재생 다운로드
사랑이 뭔데 (Inst.)
서현진, 유승우
또 오해영 OST Part.3","['첫', '도입', '부가', '익숙하다', '생각', '하다', '노래', '비슷하다', '같다', '재생', '다운로드', '사랑', '뭐', '서현진', '유승우', '또', '오해', '영']"
190,tksh99,나도 봄,"['나다', '봄']"
191,C.Bar,"다음 컴백때는 더 좋은 곡으로 돌아오도록~
재생 다운로드
나중에 만나
어쿠스틱 기타
넘나 좋은 어쿠스틱 기타 모음곡 #6","['다음', '컴백', '때', '더', '좋다', '곡', '돌아오다', '재생', '다운로드', '나중', '만나다', '어쿠스틱', '기타', '넘다', '좋다', '어쿠스틱', '기타', '모음곡']"
192,hye11w,데일리 감상자수 위에있는 노래보다 많넹 !,"['데', '일리', '감상', '자수', '위', '있다', '노래', '많넹']"
193,포용하리,뮤비 보면서 들으니까 노래가 더 좋네요,"['뮤비', '보다', '들다', '노래', '더', '좋다']"
194,탈퇴한 회원,완벽하군..,['완벽하다']
195,thdwldn3205,진짜 너무 좋다 흠 잡을 데가 없다,"['진짜', '좋다', '흠', '잡', '데', '없다']"
196,하하.__.,"나만,봄 다시 1위 가즈아~!
(2,3위 라도..)
재생 다운로드
나만, 봄
볼빨간사춘기
사춘기집Ⅰ 꽃기운","['나', '봄', '다시', '위', '가즈', '위', '재생', '다운로드', '나', '봄', '볼', '빨갛다', '사춘기', '사춘기', '집', '꽃', '기운']"
197,뭐ㄹ봐,목소리가너무좋은것같아요♡ㅎ,"['목소리', '좋다', '것', '같다']"
198,가요팝제이팝,노래 좋다.,"['노래', '좋다']"
199,s__3,나만 바보 sunshine으로 들림??...,"['나', '바보', '들리다']"
200,탈퇴한 회원,"월간 1위❤️
재생 다운로드
나만, 봄
볼빨간사춘기
사춘기집Ⅰ 꽃기운","['월간', '위', '재생', '다운로드', '나', '봄', '볼', '빨갛다', '사춘기', '사춘기', '집', '꽃', '기운']"
201,챙람쥐S2,월간 1윙 !!♡♡,"['월간', '윙']"
202,범규왕자님,와대박볼빨간사춘기 목소리 대박 좋아❤❤❤,"['오다', '대박', '볼', '빨갛다', '사춘기', '목소리', '대박', '좋다']"
203,독도리1,"같이○
모두●
함께☆
봄봄봄●○","['모두', '봄봄봄']"
204,화를참는사람,딱붙어서어~,"['붙다', '서어']"
205,달콤한보이스_음악매니아,"이 사춘기집에 나온 다른 노래..즉 <나들이 갈까>,<별 보러 갈래>,<Seattle Alone> 이런 노래들도 정말 좋은 노래이지만 이 노래는 특히나 더 봄과 잘 어울리는 명곡인 것 같아요♡","['이', '사춘기', '집', '나오다', '다른', '노래', '즉', '나들이', '갈다', '별', '보다', '갈래', '이렇다', '노래', '정말', '좋다', '노래', '이', '노래', '나', '더', '봄', '자다', '어울리다', '명곡', '것', '같다']"
206,코인노래바아아아앙,넘 좋음,"['넘다', '좋다']"
207,짜냥하는여친,노래 너무 상큼하다ㅋㅋㅋㅋㅋ 약간 여행 곡이랑 분위기 비슷함,"['노래', '상큼', '하다', '약간', '여행', '곡', '분위기', '비슷하다']"
208,탈퇴한 회원,안대 그만도 거기까지해~,"['안대', '그', '거기', '해']"
209,꼬마-,이 곡을 어떻게 하루만에 쓰는거죠?? 대박이네요...,"['이', '곡', '어떻다', '하루', '쓰다', '대박', '요']"
210,지예ㅇ,우지윤인가 뭔가 그사람은 하는게 뭐임. 궁금해서,"['지윤', '뭔가', '사람', '하다', '뭐임', '궁금하다']"
211,아기상어뚜룹뚜룹,이 노래를 마감기한 때문에 하루만에 작사작곡한 갓지영...,"['이', '노래', '마감', '기한', '때문', '하루', '작곡', '지영']"
212,1-_--_-1,십센치 + 장범준 느낌이넹..,"['십센치', '장범준', '느낌', '넹']"
213,ykkim489,가사가 진짜 지금 딱 내 상황이다ㅠㅠㅠㅠㅠ,"['가사', '진짜', '지금', '내', '상황']"
214,Chm0225,오늘유희열스케치북에나오네요,"['오늘', '유희열', '스케치북', '오다']"
215,지예ㅇ,flower을 바보라 말하는 안지영 불-편,"['바보', '말', '하다', '안지영', '불', '편']"
216,기분너무좋노,노래 개좋노 ㄷㄷ,"['노래', '개', '좋다']"
217,kidmillillinare,팬코가 뭐죠??,"['팬코', '뭐']"
218,몬숙,딱 붙어서어~ 이부분에 중독된거 저뿐인가요?,"['붙다', '서어', '부분', '중독', '된거', '뿐']"
219,뽀잉뽈,처음가사 더다가가면 이거 왜 너다가가면으로들리지..,"['처음', '가사', '더', '다가가다', '거', '왜', '너', '다가가다', '들리다']"
220,kelee05,굿굿..:),['굿굿']
221,지예ㅇ,안지영님 영어 단어도 못읽으시다니.. 그것도 엄청 쉬운 단어를... flower를 바보로 읽으시는 분은 첨봄 9살도 이 단어 읽을수 있음 ㅎㅎ,"['안지영', '영어', '단어', '읽다', '그것', '쉽다', '단어', '를', '바보', '읽다', '분', '봄', '살', '이', '단어', '읽다', '있다']"
222,멜망사랑해김민석존잘,개좋아ㅠㅠㅠㅠㅠㅠㅠㅠ❤❤❤❤❤❤❤,"['개', '좋다']"
223,Miaaaaaaaas,내맘좀 알아주라ㅠㅠㅠㅠㅠㅠ,"['맘좀', '알아주다']"
224,조서우123,"가사에 flower sunshine 저만
바~보 션샤인~으로 들리나요?","['가사', '바', '보', '션', '샤인', '들리다']"
225,인딕이기여웡,"봄이히 지나하 갈때헤 까지히
나만 숨소리 좋아..?","['보다', '지나', '갈때헤', '끄다', '나', '숨소리', '좋다']"
226,편안한수면기원,왜 이렇게 밑에 있냐,"['왜', '밑', '있다']"
227,kty4252,"어쩜 이렇게 목소리,음색,가사,멜로디 다 이쁠수가 있죠ㅠㅠ
좋은 노래 너무 감사합니다ㅠㅠ","['어쩜', '목소리', '음색', '가사', '멜로디', '이쁘다', '있다', '좋다', '노래', '감사하다']"
228,주연만세,부럽다,['부럽다']
229,사탄킹지금은거지,아 인트로 좋다,"['인트', '좋다']"
230,ehcl1994,인트로 부분이 어디서 엄청 들어본 것 같은데 어떤 곡이었는지 기억이 안난다..,"['인트', '부분', '들다', '보다', '것', '같다', '어떻다', '곡', '이다', '기억', '나다']"
231,케인즈형,우리나라 애들은 쓸데없는거에 왜케 목숨걸고 싸우냐 그냥 좋은 노래듣고 좋은 댓글쓰고 가면되지 국민성 더럽다 진짜 누가 먼저 시비튼건지는 모르겠지만,"['우리나라', '애', '쓸데없다', '왜', '목숨', '걸다', '싸우다', '그냥', '좋다', '노래', '듣다', '좋다', '댓글', '쓰다', '가면', '되다', '국민성', '더럽다', '진짜', '누가', '먼저', '시비', '틀다', '건지다', '모르다']"
232,안개꽃화관,"볼빨간사춘기분들이 이 댓글을 보면 좋겠어요. 이노래 들을때마다 눈물나요 ㅠㅠ특히 하이라이트부분! 왜냐면,, 멜로디가 너무 아름다워요. 너무 예뻐서 눈물나요 정말. 감동적이에요 하,, 가사와 별개로 멜로디가 너무 아름답고 벚꽃이나 봄꽃 떠올리면서 들으면 진짜 너무 잘어울리구 좋아서 눈물이나요...ㅠㅠㅠㅠㅠ 예쁜 노래 고맙습니다","['볼', '빨갛다', '사춘기', '이', '댓글', '보다', '좋다', '이노', '들다', '때', '눈물나다', '하이라이트', '부분', '왜냐면', '멜로디', '아름답다', '예쁘다', '눈물나다', '정말', '감동', '가사', '별개', '멜로디', '아름답다', '벚꽃', '봄꽃', '떠올리다', '들다', '진짜', '어울리다', '좋다', '눈물', '이나', '예쁘다', '노래', '고맙다']"
233,포레스트검프,안지영씨 최고 곡 좋아영,"['안지영', '최고', '곡', '좋다', '아영']"
234,우헤헤헷헷,설렌다..,['설레다']
235,BYULBIT,내 얘기같아서 왠지 슬픔..ㅠ,"['내', '얘기', '같다', '슬픔']"
236,december12,근데 시작 전주부분? 유승우서현진 부른 시랑이 뭔데랑 비슷,"['시작', '전주부', '유승우', '서현진', '부르다', '시', '데', '비슷']"
237,sinnahaha,중독되용ㅎㅎ,"['중독', '되다']"
238,나나나후니,순위 무섭게 상승하고 있네요 ㄷㄷㄷㄷㄷㄷ,"['순위', '무섭다', '상승', '있다']"
239,14235124234,노래 너무 좋아요 ❤,"['노래', '좋다']"
240,Yooseonhomom,이런 좋은 노래를 소개해줘서 고마워 오늘 힘들었잖아 푹쉬고 잘 자 ^^,"['이렇다', '좋다', '노래', '소개', '해주다', '고맙다', '오늘', '힘들다', '푹쉬다', '자다', '자']"
241,안젤라,"에휴 이런데서도 싸우네 이제 들을만헌곡은 하나밖에 없네....
.
.
.
.
.
볼뽀뽀예!","['이렇다', '싸우다', '이제', '들다', '곡', '하나', '없다', '볼뽀뽀', '예']"
242,노래에빠지다.,볼사 음색 너무너무 좋아 ㄹㅇ 짱,"['보다', '음색', '좋다', '짱']"
243,VWVw,볼사 노래는 어디 놀러갈 때 듣기 참 좋은 것 같아요..,"['보다', '노래', '어디', '놀다', '갈다', '때', '듣기', '차다', '좋다', '것', '같다']"
244,Fleek,팬덤 상관없이 주변사람들 모두 고르게 듣고 있다는게 볼사의 최대 장점이라고 생각합니다 ㅎㅎ 잘 듣고 가요!!,"['팬덤', '상관없다', '주변', '사람', '모두', '고르다', '듣다', '있다', '볼', '사의', '최대', '장점', '생각', '하다', '자다', '듣다', '가요']"
245,천사린린,봄 날씨랑 너무 잘 어울려요❤️ 필요없소~ 네 곁에 있고시포~ 딱붙어소~ 하는 지영님 특유의 발음 너무너무 사랑스러워요ㅎㅎㅎㅎㅎ,"['봄', '날씨', '자다', '어울리다', '필요없다', '네', '곁', '있다', '포', '붙다', '하다', '지영', '특유', '발음', '사랑스럽다']"
246,sayga7942,근데 작년이맘쯤 여행때도 방탄이랑 컴백겹쳐서 별점테러당하더니 또 겹쳤누. ㅠ,"['작년', '이맘', '여행', '때', '방탄', '컴백', '겹', '치다', '점', '테러', '당하다', '또', '겹', '치다', '누']"
247,awsed99,음색 환상. 노래 잘하는 사람은 요새 많고 많아요. 오히려 너무 많아서 날고 기어도 대중들의 픽을 받기 힘들어 졌고 그만큼 꾸준히 사랑받기는 힘들죠. 안지영이라는 보컬도 절대 꿇리지않는 실력을 여태껏 보여줘 왔고 작곡에도 임한다는게 놀랍네요. 하이라이트 부분에 기교없는 깔끔함이 요새 질리도록 들어온 노래와는 달랐습니다.,"['음색', '환상', '노래', '하다', '사람', '요새', '많다', '많다', '오히려', '많다', '날', '기어', '대중', '픽', '받다', '힘들다', '지다', '꾸준하다', '사랑받다', '기다', '힘들다', '안지영', '보컬', '절대', '꿇다', '않다', '실력', '여태껏', '보여주다', '오다', '작곡', '임', '게', '놀라다', '하이라이트', '부분', '기교', '없다', '깔끔하다', '요새', '질리다', '들어오다', '노래', '다르다']"
248,sayga7942,솔직히 볼사노래 전부 작사작곡 안지영이 거의 혼자 다하는데 이정도면 훌륭한거아닌가?,"['솔직하다', '보다', '노래', '전부', '작사', '작곡', '안지영', '거의', '혼자', '하다', '정도', '훌륭하다', '아니다']"
249,jp.p,들으니 여기가 너무 쓰리다,"['들다', '여기', '쓰다']"
250,wlstkfkd77,강형욱님께서 좋아요를 누르셧습니다.,"['강', '욱', '좋다', '를', '누르다']"
251,twosunpaper,"바보~선샤인~

으로 들려용ㅎㅎ그래도좋아욥♥","['바보', '선샤인', '들다', '그래도좋아', '욥']"
252,swlee40,가사 너무 좋아요♡♡♡ 볼사 더더 흥해랏!!ㅎㅎ,"['가사', '좋다', '보다', '더더', '흥해랏']"
253,SweetGuy,방탄이 컴백했는데 2위를 지키고 있는 거 정말 대단하다,"['방탄', '컴백', '하다', '위', '지키다', '있다', '거', '정말', '대단하다']"
254,AJeongs,벚꽃도 뭐고 다 필요없어 이부분 너무좋다ㅠㅠ,"['벚꽃', '뭐', '필요없다', '부분', '좋다']"
255,ListenMe,좋다 좋은데 뭔가 부족한데 흐음,"['좋다', '좋다', '뭔가', '부족하다']"
256,jhr0325,노래 진짜 너무 좋은 거 아니냐며;;;,"['노래', '진짜', '좋다', '거', '아니다']"
257,토루플,굉장히 설레고 순수하면서 슬프다. 앞으로 아픔이 서릴 짝사랑의 풋풋한 시작을 보는듯한 가사에 괜히 옛생각이 나는 노래,"['굉장하다', '설레다', '순수하다', '슬프다', '앞', '아픔', '서리다', '짝사랑', '풋풋하다', '시작', '보다', '가사', '생각', '나', '노래']"
258,ㅁㅈ329,타돌 얘기를 걍 하지 마세요 ㅜㅜ 볼사 노래가 얼마나 좋은데 ㅋㅋ,"['돌', '얘기', '하다', '말다', '보다', '노래', '얼마나', '좋다']"
259,꽃길생성꾼,ㄹㅇ루다가 팬코 개많넼ㅋㅋㅋ 힘합만 듣는 애들이랑 가계정들 여기 와서 괜히 방탄 팬인척 하지마라 볼사팬한테도 민폐임 진짜 싸운날부터 팬인데 짜증나게 굴어ㅋㅋ,"['루다', '팬코', '개', '많다', '힘합', '듣다', '애', '가다', '계정', '여기', '오다', '방탄', '팬', '인척', '하다', '보다', '팬', '도', '민폐', '임', '진짜', '싸우다', '날', '팬', '짜증나다', '굳다']"
260,나드리갈까,볼사랑사춘기 다시 1위 가즈아!,"['볼', '사랑', '사춘기', '다시', '위', '가즈']"
261,alflwi,음색 진짜 좋네요 ^-^,"['음색', '진짜', '좋다']"
262,음악계의샛별,진짜 좋은곡은 팬덤아니여도 여기까지 온다 1위하고있는곡도 좋지만 이곡도 그에 비할만큼 듣기좋은것같다,"['진짜', '좋다', '곡', '팬덤', '아니다', '여기', '오다', '위', '하다', '곡', '좋다', '이곡', '그', '비', '하다', '듣기', '좋다', '것', '같다']"
263,닉네임 없음,올해 봄노래ㅜㅜ 정말 이번노래도 분위기터짐..,"['올해', '봄', '노래', '정말', '이번', '노래', '분위기', '터지다']"
264,sirosh223,볼사화팅!! 다운했어요 ㅇㅅㅇ,"['볼', '사화', '팅', '다운', '하다']"
265,김_은우,아이돌은 팬덤문화라고 소속감 가지고 광적으로 집착해서 순위를 챙기지만 볼사는 그런 문화가 없기 때문에 이 위치가 더 대단한 거지 연령 스펙트럼이 그만큼 넓다는 거야,"['아이돌', '팬덤', '문화', '소속', '감', '가지', '광', '집착', '하다', '순위', '챙기다', '볼', '살다', '그렇다', '문화', '없다', '때문', '이', '위치', '더', '대단하다', '거지', '연령', '스펙트럼', '넓다']"
266,뱜두,"벚꽃도 뭐고 다 필요없어
이부분 개좋타...","['벚꽃', '뭐', '필요없다', '부분', '개', '좋다', '타']"
267,탈퇴한 회원,축하드려요 9만^^,"['축하', '드리다']"
268,노래를듣고있다,이번달만쓰고 갈아타련다 순위줄세우기 너무 심하네,"['이번', '달', '쓰다', '갈아타다', '순위', '줄', '세우다', '심하다']"
269,European_Union,악플좀 그만달자,"['악플', '좀', '달자']"
270,조용히있고싶다,"팬은아니지만 이노래를 처음접하고 계속 듣게됬어요 너무 좋네요
재생 다운로드
여행
볼빨간사춘기
Red Diary Page.2","['팬', '아니다', '노래', '처음', '접', '계속', '듣다', '되다', '좋다', '재생', '다운로드', '여행', '볼', '빨갛다', '사춘기']"
271,조용히있고싶다,팬코인지 아닌지 어떻게구분함?,"['팬코', '아니다', '어떻다', '구분', '함']"
272,ㅁ밍밍밍밍ㅁ,"볼사팬분들 밑댓글중 방탄운운하면서 볼사까는사람들 다 팬코입니다 뮤직 dna들어가 보시면 알수있어요 볼사분들 노래가 별로라니,당연히 말이 안되죠 저도 그렇고 제 주위사람들 다 볼사 노래에 빠져서 맨날 듣고있습니다 저도 방탄노래 들으면서 한번씩은 듣고요 그러니 저런 어그로성 댓들은 무시하세요 원래 당도높은 과일엔 벌.레가 꼬이는 법이잖아요","['보다', '팬', '밑', '댓글', '방탄', '울다', '보다', '깔다', '사람', '팬코', '이다', '뮤직', '들어가다', '보시', '알다', '볼', '사분', '노래', '별로', '당연하다', '말', '안되다', '저', '그렇다', '제', '주위', '사람', '보다', '노래', '빠지다', '듣다', '저', '방탄', '노래', '들다', '한번', '듣다', '그렇다', '저런', '어그', '성', '댓', '무시', '하다', '원래', '당', '높다', '과일', '벌', '레', '꼬이다', '법', '잖다']"
273,군대에서배운건여자아이돌노래,이 노래가 좋긴 좋은가봐,"['이', '노래', '좋다', '좋다', '보다']"
